player,type,experience,season,contract_yrs,first_year_percent_of_cap
Aaron Henry,RFA,1,2022,NA,NA
Aaron Holiday,RFA,4,2022,NA,NA
Aaron Wiggins,RFA,1,2022,NA,NA
Abdel Nader,CO,4,2022,NA,2080000
Amir Coffey,RFA,3,2022,NA,NA
Andre Drummond,UFA,10,2022,NA,NA
Andre Iguodala,UFA,18,2022,NA,NA
Anfernee Simons,RFA,4,2022,NA,NA
Anthony Gill,RFA,2,2022,NA,NA
Arnoldas Kulboka,RFA,1,2022,NA,NA
Austin Reaves,CO,0,2022,NA,1244388
Austin Rivers,UFA,10,2022,NA,NA
Avery Bradley,UFA,12,2022,NA,NA
Ben McLemore,UFA,9,2022,NA,NA
Blake Griffin,UFA,12,2022,NA,NA
Bobby Portis,PO,6,2022,NA,4456290
Bol Bol,RFA,3,2022,NA,NA
Brad Wanamaker,UFA,4,2022,NA,NA
Bradley Beal,PO,9,2022,NA,35073168
Brodric Thomas,RFA,2,2022,NA,NA
Bruce Brown,UFA,4,2022,NA,NA
Bruno Fernando,RFA,3,2022,NA,NA
Bryn Forbes,UFA,6,2022,NA,NA
Caleb Martin,RFA,3,2022,NA,NA
Carmelo Anthony,UFA,18,2022,NA,NA
Cassius Winston,RFA,2,2022,NA,NA
Chandler Hutchison,RFA,4,2022,NA,NA
Chris Boucher,UFA,5,2022,NA,NA
Chris Chiozza,UFA,4,2022,NA,NA
CJ Elleby,RFA,2,2022,NA,NA
Cody Martin,RFA,3,2022,NA,NA
Cody Zeller,UFA,9,2022,NA,NA
Collin Sexton,RFA,4,2022,NA,NA
Cory Joseph,PO,10,2022,NA,5032500
Daishen Nix,RFA,1,2022,NA,NA
Damian Jones,UFA,6,2022,NA,NA
Damion Lee,UFA,5,2022,NA,NA
Danuel House,UFA,6,2022,NA,NA
Daulton Hommes,RFA,1,2022,NA,NA
David Duke Jr.,RFA,1,2022,NA,NA
David Johnson,RFA,1,2022,NA,NA
Dean Wade,CO,2,2022,NA,1225201
Deandre Ayton,RFA,4,2022,NA,NA
DeAndre Jordan,UFA,14,2022,NA,NA
DeAndre' Bembry,UFA,6,2022,NA,NA
DeJon Jarreau,RFA,1,2022,NA,NA
Delon Wright,UFA,7,2022,NA,NA
Dennis Schröder,UFA,9,2022,NA,NA
Dennis Smith Jr.,UFA,5,2022,NA,NA
Denzel Valentine,UFA,6,2022,NA,NA
Derrick Favors,PO,11,2022,NA,9720900
Derrick Jones Jr.,UFA,6,2022,NA,NA
Devon Dotson,RFA,2,2022,NA,NA
Dewayne Dedmon,UFA,9,2022,NA,NA
Donte DiVincenzo,RFA,4,2022,NA,NA
Dorian Finney-Smith,UFA,6,2022,NA,NA
Dru Smith,RFA,1,2022,NA,NA
Duane Washington Jr.,RFA,1,2022,NA,NA
Dwight Howard,UFA,18,2022,NA,NA
E'Twaun Moore,UFA,11,2022,NA,NA
Ed Davis,UFA,12,2022,NA,NA
Elfrid Payton,UFA,8,2022,NA,NA
Elijah Hughes,RFA,2,2022,NA,NA
Enes Kanter,UFA,11,2022,NA,NA
Eric Paschall,RFA,3,2022,NA,NA
Eugene Omoruyi,RFA,1,2022,NA,NA
Facundo Campazzo,RFA,2,2022,NA,NA
Frank Jackson,CO,4,2022,NA,3075000
Frank Kaminsky,UFA,7,2022,NA,NA
