seas_id,season,player_id,player,age,experience,g_percent,gs_percent,mp_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,ows,dws,ws_per_48,vorp,g_percent_last_3_yrs,gs_percent_last_3_yrs,mp_last_3_yrs_per_game,x3p_last_3_yrs_per_game,x3pa_last_3_yrs_per_game,x2p_last_3_yrs_per_game,x2pa_last_3_yrs_per_game,ft_last_3_yrs_per_game,fta_last_3_yrs_per_game,orb_last_3_yrs_per_game,drb_last_3_yrs_per_game,ast_last_3_yrs_per_game,stl_last_3_yrs_per_game,blk_last_3_yrs_per_game,tov_last_3_yrs_per_game,pf_last_3_yrs_per_game,ows_last_3_yrs,dws_last_3_yrs,ws_per_48_last_3_yrs,vorp_last_3_yrs,fg_percent_last_3_yrs,x3p_percent_last_3_yrs,x2p_percent_last_3_yrs,e_fg_percent_last_3_yrs,ft_percent_last_3_yrs,type,contract_yrs,first_year_percent_of_cap,percent_of_pos_vorp
25747,2016,3731,Aaron Brooks,31,8,0.8415,0,16.058,0.9565,2.6812,1.7681,4.1159,0.7101,0.9275,0.3043,1.1594,2.6087,0.4348,0.1449,1.1884,1.913,0.4009,0.3568,0.4296,0.4712,0.7656,0.2,0.7,0.039,-0.2,0.903,0.1409,20.4036,1.2691,3.3453,2.1614,5.0269,1.2422,1.4933,0.4305,1.3946,3.0224,0.6099,0.1704,1.5964,2.0942,3.2,3.1,0.0675,0.7,0.4097,0.3794,0.43,0.4855,0.8318,UFA,1,0.0287,0.0125
25751,2016,3734,Al Horford,29,9,1,1,32.0854,1.0732,3.122,5.378,9.6585,1.2561,1.5732,1.8049,5.4634,3.2073,0.8293,1.4756,1.3049,1.9878,0.5048,0.3438,0.5568,0.5468,0.7984,4.9,4.5,0.1715,3.9,0.7602,1,31.5882,0.5508,1.6203,6.3262,11.3904,1.4332,1.8984,1.8449,5.5561,3.1176,0.8717,1.4064,1.4492,1.8182,11.5,9.4,0.1698,8.7,0.5286,0.3399,0.5554,0.5497,0.7549,UFA,4,0.2819,0.0893
25752,2016,3496,Al Jefferson,31,12,0.5732,0.383,23.3191,0,0,5.2128,10.7447,1.5319,2.3617,1.2128,5.1915,1.4894,0.6383,0.8723,0.7234,2.4894,0.4851,0,0.4851,0.4851,0.6486,1,1.8,0.1226,0.4,0.752,0.7738,30.4919,0.027,0.1081,7.7081,15.5189,2.0054,2.9892,1.6865,7.1838,1.827,0.7784,1.1027,1.2216,2.3351,5.4,9.9,0.1302,5.2,0.495,0.25,0.4967,0.4958,0.6709,UFA,3,0.1087,0.0534
25754,2016,3567,Alan Anderson,33,7,0.1585,0,14.7692,0.9231,2.8462,0.6923,1.6923,0.8462,1.1538,0.0769,2,1.0769,0.3077,0.0769,0.1538,1.9231,0.3559,0.3243,0.4091,0.4576,0.7333,0.2,0.2,0.075,0,0.6707,0.1967,22.4788,1.0242,3,1.4606,2.9636,1.1212,1.4182,0.4364,2.0242,1.0788,0.6545,0.103,0.7515,1.9394,2.7,2.2,0.0608,-0.2,0.4167,0.3414,0.4928,0.5025,0.7906,UFA,1,0.014,-0.0018
25762,2016,4143,Allen Crabbe,23,3,0.9878,0.0988,25.9877,1.3827,3.5185,2.4568,4.8519,1.2099,1.3951,0.3333,2.3333,1.2222,0.7778,0.1975,0.7901,2.3704,0.4587,0.393,0.5064,0.5413,0.8673,3.1,1.2,0.0981,0.5,0.5976,0.0917,19.6463,1.0068,2.6122,1.619,3.2653,0.7687,0.9048,0.2381,1.7891,0.9796,0.5714,0.2177,0.5578,1.8776,3.6,2.1,0.0947,0.6,0.4468,0.3854,0.4958,0.5324,0.8496,RFA,4,0.1965,0.0055
25763,2016,3858,Alonzo Gee,28,7,0.8902,0.5205,22.3562,0.2329,0.8219,1.5753,2.6712,0.6027,0.9041,0.8219,2.5342,0.9863,0.863,0.1781,0.7534,2.3151,0.5176,0.2833,0.5897,0.551,0.6667,1,0.9,0.0559,-0.2,0.7778,0.3089,17.2604,0.2552,0.7969,1.3958,2.7292,0.7344,1.0625,0.6875,1.8542,0.75,0.7135,0.1823,0.6875,1.6823,1.5,2.5,0.0579,-0.3,0.4682,0.3203,0.5115,0.5044,0.6912,UFA,1,0.0149,-0.0028
25766,2016,3497,Anderson Varejão,33,12,0.6543,0,9.3585,0,0.0189,1,2.3208,0.6038,0.9434,0.6981,1.9623,0.6604,0.3019,0.1887,0.4151,1.3208,0.4274,0,0.4309,0.4274,0.64,0.3,0.8,0.0968,-0.1,0.588,0.4821,20.3611,0,0.0694,2.7153,5.3681,1.0903,1.5972,1.9514,4.5764,1.4583,0.7222,0.4514,0.8958,2.0278,4.2,4.2,0.1359,1.9,0.4994,0,0.5058,0.4994,0.6826,UFA,1,0.0165,0.0195
25769,2016,4064,Andre Drummond,22,4,0.9878,1,32.9136,0.0247,0.0741,6.7901,13.0123,2.5679,7.2346,4.8765,9.9136,0.8272,1.4691,1.3827,1.9136,3.0247,0.5208,0.3333,0.5218,0.5217,0.3549,2,5.5,0.1332,2,0.9919,1,31.9139,0.0082,0.041,6.2418,11.3934,1.9959,5.2418,5.2131,8.6107,0.6434,1.2008,1.623,1.5779,3.291,11.8,13.3,0.1541,5.5,0.5466,0.2,0.5478,0.547,0.3808,RFA,5,0.2349,0.0565
25771,2016,3171,Andre Miller,39,17,0.4815,0.1026,11.8205,0.0513,0.2051,1.4615,2.5128,0.6154,0.8205,0.3077,1,2.2308,0.4103,0,0.9487,1.1795,0.5566,0.25,0.5816,0.566,0.75,0.6,0.4,0.1041,0,0.7187,0.0457,15.1461,0.1124,0.3539,1.6292,3.1685,0.7978,1.0449,0.4326,1.4438,3.191,0.4607,0.0843,1.1348,1.2584,3.4,2,0.0961,0.7,0.4944,0.3175,0.5142,0.5104,0.7634,UFA,0,0,0.0125
25778,2016,4065,Andrew Nicholson,26,4,0.6829,0,14.6964,0.7321,2.0357,1.875,3.5,0.9107,1.1607,0.6071,2.9821,0.4464,0.1786,0.3929,0.7321,1.2321,0.471,0.3596,0.5357,0.5371,0.7846,0.8,0.8,0.0933,0.2,0.6992,0.0469,14.4709,0.4767,1.4186,1.9012,3.9302,0.657,0.8547,0.6047,2.5233,0.4186,0.1977,0.3314,0.6744,1.5698,0.2,2.1,0.0444,-1.1,0.4446,0.3361,0.4837,0.4891,0.7687,RFA,4,0.0647,-0.0113
25780,2016,4145,Anthony Bennett,22,3,0.2317,0,4.4211,0.1579,0.7368,0.2632,0.6842,0.4737,0.5263,0.3158,0.8947,0,0.2632,0,0.2105,0.4211,0.2963,0.2143,0.3846,0.3519,0.9,0,0.1,0.0571,0,0.5203,0.0175,12.8203,0.1797,0.7031,1.4844,3.5859,0.7344,1.1172,0.8359,2.2422,0.5078,0.4141,0.1875,0.6797,1.4688,-1.2,1.2,-0,-1.3,0.388,0.2556,0.4139,0.4089,0.6573,UFA,2,0.0108,-0.0133
25784,2016,3798,Anthony Tolliver,30,8,0.878,0.0694,18.625,1.3611,3.7778,0.4167,0.8333,0.4028,0.6528,0.5417,2.6389,0.7222,0.3611,0.2222,0.3889,1.1944,0.3855,0.3603,0.5,0.5331,0.617,1.5,1.3,0.1002,0.8,0.8581,0.1183,19.2028,1.4434,3.816,0.5283,1.0519,0.5472,0.7406,0.5802,2.4057,0.7217,0.3255,0.2217,0.4811,1.4387,5.2,3.5,0.1026,1.6,0.405,0.3782,0.5022,0.5533,0.7389,UFA,2,0.085,0.0148
25787,2016,3737,Arron Afflalo,30,9,0.8659,0.8028,33.3944,1.2817,3.3521,3.7042,7.9014,1.5493,1.8451,0.3239,3.4225,2.0282,0.3521,0.1408,1.1549,2,0.4431,0.3824,0.4688,0.5,0.8397,1.8,0.9,0.0547,-0.5,0.8986,0.9086,33.4459,1.518,3.9234,3.8559,8.2117,2.482,2.9955,0.3694,3.1216,2.3468,0.455,0.0901,1.5495,2.0045,7.7,2.9,0.0685,0.3,0.4428,0.3869,0.4696,0.5054,0.8286,UFA,2,0.1328,0.0028
