player,age,type,Y1S2 Cap %,yrs_Y1S2,total_Y1S2,S1Y2 Cap %,yrs_S1Y2,total_S1Y2
Zach LaVine,26,UFA,24.63%,4,"$129,510,000",24.84%,4,"$130,610,000"
Miles Bridges,23,RFA,23.55%,4,"$123,830,000",21.92%,4,"$115,290,000"
Jalen Brunson,25,UFA,18.09%,4,"$95,120,000",16.73%,4,"$87,950,000"
Deandre Ayton,23,RFA,17.08%,5,"$115,160,000",16.23%,5,"$109,440,000"
Mitchell Robinson,23,UFA,11.11%,4,"$58,410,000",11.67%,3,"$44,870,000"
Mo Bamba,23,RFA,11.47%,4,"$60,320,000",9.52%,3,"$36,620,000"
Montrezl Harrell,28,UFA,8.99%,2,"$22,480,000",10.67%,2,"$26,690,000"
Chris Boucher,29,UFA,9.36%,3,"$36,000,000",8.69%,3,"$33,410,000"
Malik Monk,23,UFA,7.77%,2,"$19,440,000",9.46%,4,"$49,720,000"
Jusuf Nurkić,27,UFA,7.36%,2,"$18,420,000",9.77%,2,"$24,420,000"
Tyus Jones,25,UFA,8.26%,3,"$31,750,000",8.77%,3,"$33,730,000"
Anfernee Simons,22,RFA,7.69%,2,"$19,230,000",9.13%,4,"$48,010,000"
Collin Sexton,23,RFA,6.51%,1,"$7,940,000",9.55%,2,"$23,890,000"
Dennis Schröder,28,UFA,6.67%,1,"$8,140,000",9.11%,1,"$11,110,000"
Otto Porter,28,UFA,7.56%,3,"$29,070,000",7.46%,3,"$28,700,000"
Kevon Looney,25,UFA,7.49%,3,"$28,820,000",7.10%,2,"$17,760,000"
Caleb Martin,26,RFA,7.55%,3,"$29,050,000",6.68%,2,"$16,700,000"
Cody Martin,26,RFA,7.42%,3,"$28,530,000",6.62%,3,"$25,450,000"
Delon Wright,29,UFA,6.70%,3,"$25,750,000",7.22%,3,"$27,780,000"
Amir Coffey,24,RFA,6.93%,3,"$26,640,000",6.40%,2,"$15,990,000"
Joe Ingles,34,UFA,7.09%,3,"$27,280,000",6.00%,2,"$15,010,000"
Ricky Rubio,31,UFA,5.74%,1,"$7,010,000",7.23%,1,"$8,820,000"
Bruce Brown,25,UFA,5.25%,1,"$6,410,000",7.29%,3,"$28,030,000"
Isaiah Hartenstein,23,UFA,5.82%,2,"$14,550,000",6.59%,3,"$25,360,000"
Kyle Anderson,28,UFA,5.25%,1,"$6,400,000",7.11%,3,"$27,350,000"
Carmelo Anthony,37,UFA,4.24%,1,"$5,180,000",7.16%,1,"$8,730,000"
LaMarcus Aldridge,36,UFA,4.54%,1,"$5,540,000",6.50%,2,"$16,270,000"
Hassan Whiteside,32,UFA,4.75%,1,"$5,790,000",6.15%,1,"$7,500,000"
Andre Drummond,28,UFA,4.11%,1,"$5,010,000",6.50%,1,"$7,930,000"
Nicolas Claxton,22,RFA,5.39%,3,"$20,740,000",5.08%,2,"$12,700,000"
Gary Payton II,29,UFA,4.07%,1,"$4,960,000",5.96%,2,"$14,910,000"
Gary Harris,27,UFA,4.69%,2,"$11,730,000",5.16%,2,"$12,910,000"
JaVale McGee,34,UFA,3.94%,1,"$4,810,000",4.75%,1,"$5,800,000"
Donte DiVincenzo,25,RFA,3.87%,1,"$4,730,000",4.49%,1,"$5,480,000"
Nemanja Bjelica,33,UFA,3.34%,1,"$4,070,000",4.31%,1,"$5,260,000"
Dwight Howard,36,UFA,3.20%,1,"$3,900,000",4.19%,1,"$5,110,000"
Marvin Bagley III,22,RFA,3.21%,1,"$3,920,000",4.04%,1,"$4,930,000"
Damian Jones,26,UFA,3.68%,2,"$9,200,000",3.43%,1,"$4,180,000"
Damion Lee,29,UFA,3.80%,2,"$9,500,000",3.23%,1,"$3,940,000"
Dewayne Dedmon,32,UFA,2.86%,1,"$3,490,000",3.63%,1,"$4,420,000"
Jalen Smith,21,UFA,3.23%,2,"$8,090,000",3.24%,2,"$8,110,000"
Juan Toscano-Anderson,28,RFA,2.90%,1,"$3,540,000",3.55%,1,"$4,330,000"
Thaddeus Young,33,UFA,2.54%,1,"$3,100,000",3.69%,1,"$4,500,000"
Eric Paschall,25,RFA,3.14%,2,"$7,850,000",2.61%,2,"$6,540,000"
Andre Iguodala,38,UFA,2.47%,1,"$3,010,000",3.11%,1,"$3,800,000"
Taurean Prince,27,UFA,2.18%,1,"$2,670,000",3.07%,1,"$3,740,000"
DeAndre Jordan,33,UFA,2.33%,1,"$2,850,000",2.73%,1,"$3,330,000"
DeMarcus Cousins,31,UFA,1.94%,1,"$2,370,000",3.09%,1,"$3,770,000"
Ben McLemore,28,UFA,2.43%,1,"$2,970,000",2.48%,1,"$3,030,000"
Avery Bradley,31,UFA,2.22%,1,"$2,710,000",2.63%,1,"$3,210,000"
Derrick Jones Jr.,24,UFA,2.32%,1,"$2,830,000",2.48%,1,"$3,020,000"
Serge Ibaka,32,UFA,2.34%,1,"$2,850,000",2.45%,1,"$2,990,000"
Bryn Forbes,28,UFA,2.46%,1,"$3,000,000",2.31%,1,"$2,810,000"
Tristan Thompson,30,UFA,2.07%,1,"$2,530,000",2.21%,1,"$2,700,000"
Lonnie Walker,23,RFA,0.00%,0,$0,4.18%,2,"$10,450,000"
Raul Neto,29,UFA,1.89%,1,"$2,300,000",2.26%,1,"$2,760,000"
Wayne Ellington,34,UFA,1.98%,1,"$2,410,000",1.96%,1,"$2,390,000"
Goran Dragić,35,UFA,1.75%,1,"$2,140,000",2.08%,1,"$2,530,000"
Jeremy Lamb,29,UFA,1.72%,1,"$2,100,000",2.00%,1,"$2,440,000"
Blake Griffin,32,UFA,1.53%,1,"$1,870,000",2.09%,1,"$2,550,000"
Danuel House,28,UFA,1.81%,1,"$2,200,000",1.78%,1,"$2,170,000"
Facundo Campazzo,30,RFA,0.00%,0,$0,3.48%,1,"$4,240,000"
Victor Oladipo,29,UFA,0.00%,0,$0,3.00%,1,"$3,660,000"
Aaron Holiday,25,RFA,0.00%,0,$0,2.60%,2,"$6,510,000"
Austin Rivers,29,UFA,0.00%,0,$0,2.15%,1,"$2,620,000"
Jordan Nwora,23,RFA,0.00%,0,$0,1.95%,2,"$4,880,000"
Robin Lopez,33,UFA,0.00%,0,$0,1.94%,1,"$2,360,000"
Thomas Bryant,24,UFA,0.00%,0,$0,1.89%,1,"$2,310,000"
Moses Brown,22,RFA,0.00%,0,$0,1.88%,2,"$4,700,000"
Bismack Biyombo,29,UFA,0.00%,0,$0,1.81%,1,"$2,210,000"
Lance Stephenson,31,UFA,0.00%,0,$0,1.81%,1,"$2,200,000"
Davon Reed,26,RFA,0.00%,0,$0,1.62%,2,"$4,050,000"
Rajon Rondo,35,UFA,0.00%,0,$0,1.48%,1,"$1,800,000"
Wesley Matthews,35,UFA,0.00%,0,$0,1.47%,1,"$1,790,000"
Anthony Gill,29,RFA,0.00%,0,$0,1.46%,2,"$3,660,000"
Jevon Carter,26,UFA,0.00%,0,$0,1.45%,1,"$1,770,000"
Trent Forrest,23,RFA,0.00%,0,$0,1.40%,2,"$3,490,000"
Admiral Schofield,24,RFA,0.00%,0,$0,0.00%,0,$0
Anthony Lamb,24,RFA,0.00%,0,$0,0.00%,0,$0
Arnoldas Kulboka,24,RFA,0.00%,0,$0,0.00%,0,$0
Bol Bol,22,RFA,0.00%,0,$0,0.00%,0,$0
Brandon Goodwin,26,UFA,0.00%,0,$0,0.00%,0,$0
Brodric Thomas,25,RFA,0.00%,0,$0,0.00%,0,$0
Bruno Fernando,23,RFA,0.00%,0,$0,0.00%,0,$0
Cassius Winston,23,RFA,0.00%,0,$0,0.00%,0,$0
Chris Chiozza,26,UFA,0.00%,0,$0,0.00%,0,$0
CJ Elleby,21,RFA,0.00%,0,$0,0.00%,0,$0
D.J. Augustin,34,UFA,0.00%,0,$0,0.00%,0,$0
David Duke Jr.,22,RFA,0.00%,0,$0,0.00%,0,$0
David Johnson,20,RFA,0.00%,0,$0,0.00%,0,$0
Devontae Cacok,25,RFA,0.00%,0,$0,0.00%,0,$0
Ed Davis,32,UFA,0.00%,0,$0,0.00%,0,$0
Elfrid Payton,27,UFA,0.00%,0,$0,0.00%,0,$0
Elijah Hughes,23,RFA,0.00%,0,$0,0.00%,0,$0
Gabe York,28,RFA,0.00%,0,$0,0.00%,0,$0
Gary Clark,27,UFA,0.00%,0,$0,0.00%,0,$0
Gorgui Dieng,32,UFA,0.00%,0,$0,0.00%,0,$0
Greg Monroe,31,UFA,0.00%,0,$0,0.00%,0,$0
Ignas Brazdeikis,23,RFA,0.00%,0,$0,0.00%,0,$0
Isaac Bonga,22,UFA,0.00%,0,$0,0.00%,0,$0
Isaiah Thomas,32,UFA,0.00%,0,$0,0.00%,0,$0
Jake Layman,27,UFA,0.00%,0,$0,0.00%,0,$0
Jamorko Pickett,24,RFA,0.00%,0,$0,0.00%,0,$0
Jared Harper,24,RFA,0.00%,0,$0,0.00%,0,$0
Jarrett Culver,22,UFA,0.00%,0,$0,0.00%,0,$0
Jay Huff,23,RFA,0.00%,0,$0,0.00%,0,$0
Jay Scrubb,21,RFA,0.00%,0,$0,0.00%,0,$0
Joe Wieskamp,22,RFA,0.00%,0,$0,0.00%,0,$0
Josh Jackson,24,UFA,0.00%,0,$0,0.00%,0,$0
Josh Okogie,23,RFA,0.00%,0,$0,0.00%,0,$0
Justin Champagnie,20,RFA,0.00%,0,$0,0.00%,0,$0
Keljin Blevins,26,RFA,0.00%,0,$0,0.00%,0,$0
Kent Bazemore,32,UFA,0.00%,0,$0,0.00%,0,$0
Kevin Knox,22,RFA,0.00%,0,$0,0.00%,0,$0
Kyle Guy,24,RFA,0.00%,0,$0,0.00%,0,$0
Lou Williams,35,UFA,0.00%,0,$0,0.00%,0,$0
Luke Kornet,26,UFA,0.00%,0,$0,0.00%,0,$0
Mac McClung,23,RFA,0.00%,0,$0,0.00%,0,$0
Malcolm Hill,26,RFA,0.00%,0,$0,0.00%,0,$0
Markieff Morris,32,UFA,0.00%,0,$0,0.00%,0,$0
Markus Howard,22,RFA,0.00%,0,$0,0.00%,0,$0
Mason Jones,23,RFA,0.00%,0,$0,0.00%,0,$0
Matt Ryan,24,RFA,0.00%,0,$0,0.00%,0,$0
Matt Thomas,27,RFA,0.00%,0,$0,0.00%,0,$0
McKinley Wright IV,23,RFA,0.00%,0,$0,0.00%,0,$0
Melvin Frazier,25,RFA,0.00%,0,$0,0.00%,0,$0
Moses Wright,23,RFA,0.00%,0,$0,0.00%,0,$0
Myles Powell,24,RFA,0.00%,0,$0,0.00%,0,$0
Nate Hinton,22,RFA,0.00%,0,$0,0.00%,0,$0
Nathan Knight,24,RFA,0.00%,0,$0,0.00%,0,$0
Neemias Queta,22,RFA,0.00%,0,$0,0.00%,0,$0
Paul Millsap,36,UFA,0.00%,0,$0,0.00%,0,$0
Quinndary Weatherspoon,25,RFA,0.00%,0,$0,0.00%,0,$0
Rodney Hood,29,UFA,0.00%,0,$0,0.00%,0,$0
Rodney McGruder,30,UFA,0.00%,0,$0,0.00%,0,$0
Ryan Arcidiacono,27,UFA,0.00%,0,$0,0.00%,0,$0
Scottie Lewis,21,RFA,0.00%,0,$0,0.00%,0,$0
Sharife Cooper,20,RFA,0.00%,0,$0,0.00%,0,$0
Skylar Mays,24,RFA,0.00%,0,$0,0.00%,0,$0
Theo Pinson,26,UFA,0.00%,0,$0,0.00%,0,$0
Tomáš Satoranský,30,UFA,0.00%,0,$0,0.00%,0,$0
Tony Snell,30,UFA,0.00%,0,$0,0.00%,0,$0
Trevelin Queen,24,RFA,0.00%,0,$0,0.00%,0,$0
Tyler Cook,24,RFA,0.00%,0,$0,0.00%,0,$0
Udonis Haslem,41,UFA,0.00%,0,$0,0.00%,0,$0
Vlatko Čančar,24,RFA,0.00%,0,$0,0.00%,0,$0
Xavier Moon,27,RFA,0.00%,0,$0,0.00%,0,$0
Yuta Watanabe,27,RFA,0.00%,0,$0,0.00%,0,$0
Yves Pons,22,RFA,0.00%,0,$0,0.00%,0,$0
